Title,Content,Post Type,Permalink,Rubbish Tip Locations - Categories,Rubbish Tip Locations - Region,Rubbish Tip Locations - Accepted Materials,Slug,Custom URI,field_name,address,street,street2,city,province,zip,country,lat,lng
Bunya Waste Management Facility - Rubbish Tip,"Operating hours
Open 7 days, including public holidays.

October to March: 7:00 AM - 6:00 PM
April to September: 7:00 AM - 5:00 PM
Christmas Day: 7:00 AM - 12:00 PM (except where Christmas Day falls on a Saturday or Sunday)",charity_bin_dir_ltg,https://www.rubbishtips.com.au/brisbane/bunya-waste-management-facility-bunya-rubbish-tip/,Rubbish Tip,Brisbane,Batteries|Cars &amp; Other Vehicles|Chemicals &amp; Liquids|Clothes &amp; Textiles|Construction Material|Electronics|Furniture|Green Waste|Hazardous Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,bunya-waste-management-facility-bunya-rubbish-tip,brisbane/bunya-waste-management-facility-bunya-rubbish-tip,location_address,"James Drysdale Reserve Pine Waste Faci, 384 Bunya Rd, Bunya QLD 4055, Australia",,,,,,,-27.380947,152.942309
Caboolture Waste Management Facility - Rubbish Tip,"Operating hours
Open 7 days, including public holidays.

October to March: 7:00 AM - 6:00 PM
April to September: 7:00 AM - 5:00 PM
Christmas Day: 7:00 AM - 12:00 PM (except where Christmas Day falls on a Saturday or Sunday)",charity_bin_dir_ltg,https://www.rubbishtips.com.au/brisbane/caboolture-waste-management-facility-caboolture-rubbish-tip/,Rubbish Tip,Brisbane,Batteries|Cars &amp; Other Vehicles|Chemicals &amp; Liquids|Clothes &amp; Textiles|Construction Material|Electronics|Furniture|Green Waste|Hazardous Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,caboolture-waste-management-facility-caboolture-rubbish-tip,brisbane/caboolture-waste-management-facility-caboolture-rubbish-tip,location_address,"Dumping Ground, 51 McNaught Rd, Caboolture QLD 4510, Australia",,,,,,,-27.073155,152.98943
Dakabin Waste Management Facility - Rubbish Tip,"Operating hours
Open 7 days, including public holidays.

October to March: 7:00 AM - 6:00 PM
April to September: 7:00 AM - 5:00 PM
Christmas Day: 7:00 AM - 12:00 PM (except where Christmas Day falls on a Saturday or Sunday)",charity_bin_dir_ltg,https://www.rubbishtips.com.au/brisbane/dakabin-waste-management-facility-dakabin-rubbish-tip/,Rubbish Tip,Brisbane,Batteries|Cars &amp; Other Vehicles|Chemicals &amp; Liquids|Clothes &amp; Textiles|Construction Material|Electronics|Furniture|Green Waste|Hazardous Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,dakabin-waste-management-facility-dakabin-rubbish-tip,brisbane/dakabin-waste-management-facility-dakabin-rubbish-tip,location_address,"336 Old Gympie Rd, Dakabin QLD 4503, Australia",Old Gympie Road,,,Queensland,4503,AU,-27.224907,152.991431
Redcliffe Transfer Station - Clontarf,"Operating hours
Open 7 days, including public holidays.

October to March: 7:00 AM - 6:00 PM
April to September: 7:00 AM - 5:00 PM
Christmas Day: Closed",charity_bin_dir_ltg,https://www.rubbishtips.com.au/brisbane/redcliffe-transfer-station-clontarf-transfer-station/,Transfer Station,Brisbane,Batteries|Cars &amp; Other Vehicles|Chemicals &amp; Liquids|Clothes &amp; Textiles|Construction Material|Electronics|Furniture|Green Waste|Hazardous Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,redcliffe-transfer-station-clontarf-transfer-station,brisbane/redcliffe-transfer-station-clontarf-transfer-station,location_address,"261 Duffield Rd, Clontarf QLD 4019, Australia",Duffield Road,,,Queensland,4019,AU,-27.241572,153.079981
Dayboro Transfer Station,"Operating hours
Monday, Tuesday, Wednesday &amp; Friday: 7:00 AM - 5:00 PM
Thursday: Closed
Weekends &amp; public holidays: 8:00 AM - 5:00 PM
Closed Christmas Day",charity_bin_dir_ltg,https://www.rubbishtips.com.au/brisbane/dayboro-transfer-station-dayboro-transfer-station/,Transfer Station,Brisbane,Clothes &amp; Textiles|Green Waste|Metals|Paper &amp; Cardboard|Plastics,dayboro-transfer-station-dayboro-transfer-station,brisbane/dayboro-transfer-station-dayboro-transfer-station,location_address,"Dayboro Transfer Station, 1721 Dayboro Rd, Dayboro QLD 4521, Australia",,,,,,,-27.195372,152.839628
Mt Nebo Transfer Station,"Operating hours
Open 7 days, including public holidays.

October to March: 7:00 AM - 6:00 PM
April to September: 7:00 AM - 5:00 PM
Closed Christmas Day",charity_bin_dir_ltg,https://www.rubbishtips.com.au/brisbane/mt-nebo-transfer-station-mount-nebo-transfer-station/,Transfer Station,Brisbane,Clothes &amp; Textiles|Green Waste|Metals|Paper &amp; Cardboard|Plastics,mt-nebo-transfer-station-mount-nebo-transfer-station,brisbane/mt-nebo-transfer-station-mount-nebo-transfer-station,location_address,"2411 Mount Nebo Rd, Lake Manchester QLD 4306, Australia",Mount Nebo Road,,,Queensland,4520,AU,-27.378988,152.773209
Ningi Transfer Station,"Operating hours
Thursday - Tuesday: Open
Wednesday: Closed
October to March: 7:00 AM - 6:00 PM
April to September: 7:00 AM - 5:00 PM
Closed Christmas Day",charity_bin_dir_ltg,https://www.rubbishtips.com.au/brisbane/ningi-transfer-station-ningi-transfer-station/,Transfer Station,Brisbane,Clothes &amp; Textiles|Green Waste|Metals|Paper &amp; Cardboard|Plastics,ningi-transfer-station-ningi-transfer-station,brisbane/ningi-transfer-station-ningi-transfer-station,location_address,"1532 Bribie Island Rd, Ningi QLD 4511, Australia",Bribie Island Road,,,Queensland,4511,AU,-27.065256,153.118261
Samford Transfer Station,"For local residential waste only. Suburbs eligible for disposal at this facility: Cashmere, Clear Mountain, Kobble Creek, Mt Samson, Closeburn, Yugar, Draper, Cedar Creek, Samford, Samford Valley, Highvale, Camp Mountain, Wights Mountain and Samsonvale.

Operating hours
Monday, Wednesday, Thursday &amp; Friday: 7:00 AM - 5:00 PM
Tuesday: Closed
Weekends &amp; public holidays: 8:00 AM - 5:00 PM
Closed Christmas Day",charity_bin_dir_ltg,https://www.rubbishtips.com.au/brisbane/samford-transfer-station-samford-valley-transfer-station/,Transfer Station,Brisbane,Clothes &amp; Textiles|Green Waste|Metals|Paper &amp; Cardboard|Plastics,samford-transfer-station-samford-valley-transfer-station,brisbane/samford-transfer-station-samford-valley-transfer-station,location_address,"O'Reilly Park Transfer Station, 46 Gibbons Rd, Samford Valley QLD 4520, Australia",,,,,,,-27.357593,152.878866
Toorbul Transfer Station,"Operating hours
Saturday - Monday: Open
Tuesday - Friday: Closed
October to March: 7:00 AM - 6:00 PM
April to September: 7:00 AM - 5:00 PM
Closed Christmas Day",charity_bin_dir_ltg,https://www.rubbishtips.com.au/brisbane/toorbul-transfer-station-toorbul-transfer-station/,Transfer Station,Brisbane,Clothes &amp; Textiles|Green Waste|Metals|Paper &amp; Cardboard|Plastics,toorbul-transfer-station-toorbul-transfer-station,brisbane/toorbul-transfer-station-toorbul-transfer-station,location_address,"Dumping Ground, 1105 Pumicestone Rd, Toorbul QLD 4510, Australia",,,,,,,-27.031786,153.037363
Upper Caboolture Transfer Station,"Operating hours
Friday - Tuesday: Open
Wednesday &amp; Thursday: Closed
October to March: 7:00 AM - 6:00 PM
April to September: 7:00 AM - 5:00 PM
Closed Christmas Day",charity_bin_dir_ltg,https://www.rubbishtips.com.au/brisbane/upper-caboolture-transfer-station-upper-caboolture-transfer-station/,Transfer Station,Brisbane,Clothes &amp; Textiles|Green Waste|Metals|Paper &amp; Cardboard|Plastics,upper-caboolture-transfer-station-upper-caboolture-transfer-station,brisbane/upper-caboolture-transfer-station-upper-caboolture-transfer-station,location_address,"Reserve for Local Govt Purposes, 789 Caboolture River Rd, Upper Caboolture QLD 4510, Australia",,,,,,,-27.124334,152.886137
Wamuran Transfer Station,"Operating hours
Friday - Tuesday: Open
Wednesday &amp; Thursday: Closed
October to March: 7:00 AM - 6:00 PM
April to September: 7:00 AM - 5:00 PM
Closed Christmas Day",charity_bin_dir_ltg,https://www.rubbishtips.com.au/brisbane/wamuran-transfer-station-wamuran-transfer-station/,Transfer Station,Brisbane,Clothes &amp; Textiles|Green Waste|Metals|Paper &amp; Cardboard|Plastics,wamuran-transfer-station-wamuran-transfer-station,brisbane/wamuran-transfer-station-wamuran-transfer-station,location_address,"1150 D'Aguilar Hwy, Wamuran QLD 4512, Australia",D'Aguilar Highway,,,Queensland,4512,AU,-27.036505,152.856601
Woodford Transfer Station,"Operating hours
Wednesday - Sunday: Open
Monday &amp; Tuesday: Closed
October to March: 7:00 AM - 6:00 PM
April to September: 7:00 AM - 5:00 PM
Closed Christmas Day",charity_bin_dir_ltg,https://www.rubbishtips.com.au/brisbane/woodford-transfer-station-woodford-transfer-station/,Transfer Station,Brisbane,Clothes &amp; Textiles|Green Waste|Metals|Paper &amp; Cardboard|Plastics,woodford-transfer-station-woodford-transfer-station,brisbane/woodford-transfer-station-woodford-transfer-station,location_address,"105 Golf Course Rd, Woodford QLD 4514, Australia",Golf Course Road,,,Queensland,4514,AU,-26.944158,152.789047
Birkdale Recycling and Waste Centre - Rubbish Tip,"Opening times
Open 7 days a week – closed Christmas Day and Good Friday
1 September to 31 May: 7am-5.30pm (must arrive before 5.15pm)
1 June to 31 August: 7am-5pm (must arrive before 4.45pm)
Vehicles must arrive at least 15 minutes prior to closing to allow for end of day procedures to be undertaken.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/brisbane/birkdale-recycling-and-waste-centre-birkdale-rubbish-tip/,Rubbish Tip,Brisbane,Asbestos|Batteries|Cars &amp; Other Vehicles|Chemicals &amp; Liquids|Clothes &amp; Textiles|Construction Material|Electronics|Furniture|Green Waste|Hazardous Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,birkdale-recycling-and-waste-centre-birkdale-rubbish-tip,brisbane/birkdale-recycling-and-waste-centre-birkdale-rubbish-tip,location_address,"555-607 Old Cleveland Rd E, Birkdale QLD 4159, Australia",Old Cleveland Road East,,,Queensland,4159,AU,-27.510116,153.227147
Redland Bay Recycling and Waste Centre - Rubbish Tip,"Opening times
Open 7 days a week – closed Christmas Day and Good Friday
1 September to 31 May: 7am-5.30pm (must arrive before 5.15pm)
1 June to 31 August: 7am-5pm (must arrive before 4.45pm)
Vehicles must arrive at least 15 minutes prior to closing to allow for end of day procedures to be undertaken.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/brisbane/redland-bay-recycling-and-waste-centre-redland-bay-rubbish-tip/,Rubbish Tip,Brisbane,Asbestos|Batteries|Cars &amp; Other Vehicles|Chemicals &amp; Liquids|Clothes &amp; Textiles|Construction Material|Electronics|Furniture|Green Waste|Hazardous Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,redland-bay-recycling-and-waste-centre-redland-bay-rubbish-tip,brisbane/redland-bay-recycling-and-waste-centre-redland-bay-rubbish-tip,location_address,"761-789 German Church Rd, Redland Bay QLD 4165, Australia",,,,,,,-27.626917,153.285831
Lantrak Waste and Recycling Facility - Swanbank - Rubbish Tip,"Lantrak operate a flagship Waste &amp; Recycling Facility at Swanbank (QLD), located just 28km south west of Brisbane.The facility is open 6 days a week with all-weather access.

The Swanbank facility is able to accept the following materials for secure disposal:

Acid Sulphate Soils
Low Contaminated Soils
Asbestos Soil &amp; Sheeting
Construction &amp; Demolition Waste
Assorted Fill – Including top soil
Green Waste
Also offering:

Combined cart and dispose options
New 80 tonne weighbridge
Solutions and professional advice for other waste types not listed above
Supply of quality landscaping soils and fill materials",charity_bin_dir_ltg,https://www.rubbishtips.com.au/brisbane/lantrak-waste-and-recycling-facility-swanbank-rubbish-tip/,Rubbish Tip,Brisbane,Asbestos|Construction Material|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,lantrak-waste-and-recycling-facility-swanbank-rubbish-tip,brisbane/lantrak-waste-and-recycling-facility-swanbank-rubbish-tip,location_address,"1 Memorial Dr, Swanbank QLD 4306, Australia",Memorial Drive,,,Queensland,,AU,-27.669509,152.817838
Riverview Recycling and Refuse Centre - Ipswich - Rubbish Tip,"Fees and charges
The charges for each centre are as follows:

At Riverview Recycling and Refuse Centre the minimum charge for disposal of general waste by a resident of Ipswich City is $12.00 for up to 500 kilograms. Any quantity of waste in excess of 500 kilograms is charged at $0.20 per kilogram.

At Rosewood Recycling and Refuse Centre the minimum charge for disposal of general waste by a resident of Ipswich is $12.00 for the first two cubic metres. Any waste in excess of two cubic metres is charged at $70 per cubic metre or part thereof.

Also please note that approved recyclable items may be deposited at no cost provided that there is no waste material in the load.

For more information, see Ipswich City Council Fees and Charges or contact Ipswich City Council on (07)3810 6666 or email council@ipswich.qld.gov.au
For information on commercial charges please contact Ipswich City Council.
Waste Acceptance
Both facilities accept dry non-hazardous waste.
No food waste or liquids (other than recyclable/hazardous liquids listed below).
Food and waste doors must be removed from refrigerators and other appliances to prevent small children becoming trapped.
All waste must be covered to prevent littering.
The waste pit (or bins at the Rosewood Recycling and Refuse Centre) are only provided for the disposal of material that cannot be recycled - so sort your waste prior to arriving at recycling and refuse centres.
Ammunition and flares must not be disposed of in the pit. Please refer to Council's information on household hazardous waste for correct disposal techniques.
Ipswich City Council no longer accepts chemicals and gas cylinders on a daily basis at its public waste disposal facilities due to safety and environmental concerns. Council is providing an alternative disposal option for Ipswich residents with scheduled drop-off days to safely dispose of these items. Please refer to council's information on household hazardous waste for the next free chemicals and listed items drop off day.
Recycling Facilities
At both Riverview and Rosewood Recycling and Refuse Centres there are designated areas provided for recycling of:

Green waste and untreated timber: tree prunings, cuttings, branches, stumps, grass clippings and timber are collected for mulching (charges apply).
White goods such as fridges, freezers and other electrical items (food and waste doors must be removed)
Tyres (domestic sources only - charges apply)
Car Batteries (domestic sources only)
Oil (domestic sources only) - 20L limit at any one time
Steel and scrap metal, including car bodies
Paper and cardboard
Clean glass bottles and jars
Aluminium, including cans
Clean plastic, soft drink and milk bottles no plastic bags",charity_bin_dir_ltg,https://www.rubbishtips.com.au/brisbane/riverview-recycling-and-refuse-centre-ipswich-rubbish-tip/,Rubbish Tip,Brisbane,Batteries|Cars &amp; Other Vehicles|Clothes &amp; Textiles|Construction Material|Electronics|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,riverview-recycling-and-refuse-centre-ipswich-rubbish-tip,brisbane/riverview-recycling-and-refuse-centre-ipswich-rubbish-tip,location_address,"Rubbish Tip, 81 Riverview Rd, Riverview QLD 4303, Australia",,,,,,,-27.590323,152.840713
Rosewood Recycling & Refuse Centre - Rubbish Tip,"Fees and charges
The charges for each centre are as follows:

At Riverview Recycling and Refuse Centre the minimum charge for disposal of general waste by a resident of Ipswich City is $12.00 for up to 500 kilograms. Any quantity of waste in excess of 500 kilograms is charged at $0.20 per kilogram.

At Rosewood Recycling and Refuse Centre the minimum charge for disposal of general waste by a resident of Ipswich is $12.00 for the first two cubic metres. Any waste in excess of two cubic metres is charged at $70 per cubic metre or part thereof.

Also please note that approved recyclable items may be deposited at no cost provided that there is no waste material in the load.

For more information, see Ipswich City Council Fees and Charges or contact Ipswich City Council on (07)3810 6666 or email council@ipswich.qld.gov.au
For information on commercial charges please contact Ipswich City Council.
Waste Acceptance
Both facilities accept dry non-hazardous waste.
No food waste or liquids (other than recyclable/hazardous liquids listed below).
Food and waste doors must be removed from refrigerators and other appliances to prevent small children becoming trapped.
All waste must be covered to prevent littering.
The waste pit (or bins at the Rosewood Recycling and Refuse Centre) are only provided for the disposal of material that cannot be recycled - so sort your waste prior to arriving at recycling and refuse centres.
Ammunition and flares must not be disposed of in the pit. Please refer to Council's information on household hazardous waste for correct disposal techniques.
Ipswich City Council no longer accepts chemicals and gas cylinders on a daily basis at its public waste disposal facilities due to safety and environmental concerns. Council is providing an alternative disposal option for Ipswich residents with scheduled drop-off days to safely dispose of these items. Please refer to council's information on household hazardous waste for the next free chemicals and listed items drop off day.
Recycling Facilities
At both Riverview and Rosewood Recycling and Refuse Centres there are designated areas provided for recycling of:

Green waste and untreated timber: tree prunings, cuttings, branches, stumps, grass clippings and timber are collected for mulching (charges apply).
White goods such as fridges, freezers and other electrical items (food and waste doors must be removed)
Tyres (domestic sources only - charges apply)
Car Batteries (domestic sources only)
Oil (domestic sources only) - 20L limit at any one time
Steel and scrap metal, including car bodies
Paper and cardboard
Clean glass bottles and jars
Aluminium, including cans
Clean plastic, soft drink and milk bottles no plastic bags",charity_bin_dir_ltg,https://www.rubbishtips.com.au/brisbane/rosewood-recycling-refuse-centre-rosewood-rubbish-tip/,Rubbish Tip,Brisbane,Batteries|Cars &amp; Other Vehicles|Clothes &amp; Textiles|Construction Material|Electronics|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,rosewood-recycling-refuse-centre-rosewood-rubbish-tip,brisbane/rosewood-recycling-refuse-centre-rosewood-rubbish-tip,location_address,"94 Oakleigh Colliery Rd, Rosewood QLD 4340, Australia",Oakleigh Colliery Road,,,Queensland,,AU,-27.6155,152.581932
Resource Recoveries and Recycling - Sheldon - Rubbish Tip,"When the different materials are seperarted before being loaded, the gate rate will decrease because it will be easier to sort through the commercial/industrial waste. When renovating or demolishing, a handy tip would be to seperate your waste before hiring a skip to reduce air space and the recycling fee.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/brisbane/resource-recoveries-and-recycling-sheldon-rubbish-tip/,Rubbish Tip,Brisbane,Cars &amp; Other Vehicles|Clothes &amp; Textiles|Construction Material|Electronics|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,resource-recoveries-and-recycling-sheldon-rubbish-tip,brisbane/resource-recoveries-and-recycling-sheldon-rubbish-tip,location_address,"706 Mount Cotton Rd, Sheldon QLD 4157, Australia",706 Mount Cotton Road,,,Queensland,4157,AU,-27.576635,153.21936
Kartaway Transfer Station - Newton - Rubbish Tip,"Kartaway disposes of waste responsibly and recycles almost all waste collected
As an environmentally responsible company, providing recycling services that meet green star certification, Kartaway is strongly committed to environmentally sound practices.

Conveniently located within Melbourne and Adelaide, Kartaway’s transfer stations are staffed by friendly and helpful staff, affording a clean, safe location for you to dispose of your waste. With a strong environmental focus on recycling and diversion of waste from landfill, we actively sort and recycle the following waste streams:

Concrete, brick, dirt, asphalt
Timber
Steel
Cardboard
Plastics
Comingle recyclables
E-Waste
Contact our friendly staff on 1300 362 362 to discuss how Kartaway can assist with the waste management of your property, or alternatively use our online form!",charity_bin_dir_ltg,https://www.rubbishtips.com.au/adelaide/kartaway-transfer-station-newton-rubbish-tip/,Rubbish Tip,Adelaide,Construction Material|Electronics|Green Waste|Metals|Paper &amp; Cardboard|Plastics,kartaway-transfer-station-newton-rubbish-tip,adelaide/kartaway-transfer-station-newton-rubbish-tip,location_address,"Virginia Rd & Papagni Ave, Newton SA 5074, Australia",,,,,,,-34.879008,138.684352
Adelaide Waste and Recycling Centre - North Plympton - Rubbish Tip,"The Adelaide Waste and Recycling Centre (AWRC) are a state of the art resource recovery centre and waste recycling operation, conveniently located at 181 Morphett Road, North Plympton.

Both the commercial services and the waste transfer station are managed by Solo Resource Recovery. We accept all types of commercial and domestic waste including, but not limited to:

General waste
Paper and cardboard waste
Construction &amp; demolition waste
Green waste
Residual waste items including gas bottles
Paint
Motor oil, vegetable oil
Tyres
Clean soil
Mattresses
Hazardous waste",charity_bin_dir_ltg,https://www.rubbishtips.com.au/adelaide/adelaide-waste-and-recycling-centre-north-plympton-rubbish-tip/,Rubbish Tip,Adelaide,Batteries|Cars &amp; Other Vehicles|Chemicals &amp; Liquids|Clothes &amp; Textiles|Construction Material|Electronics|Furniture|Green Waste|Hazardous Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,adelaide-waste-and-recycling-centre-north-plympton-rubbish-tip,adelaide/adelaide-waste-and-recycling-centre-north-plympton-rubbish-tip,location_address,"181 Morphett Rd, North Plympton SA 5037, Australia",Morphett Road,,Adelaide,South Australia,5037,AU,-34.956793,138.536915
Newton Recycling Centre,"Newton Recyclers in Newton provides comprehensive recycling services for domestic and commercial clients.

We're able to provide 'On-going' or 'Once off' collections for households and businesses.

Speak to one of our friendly team in Newton today to learn more about how our recycling services can help you manage your waste effectively.

Not sure what to do with those leftover newspapers, magazines or milk cartons? Our recycling centre in Newton collects tonnes of paper, cardboard, metal and plastic every week and helps turns them into usable materials. We’re dedicated to providing you with an affordable recycling service that benefits the environment and community.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/adelaide/newton-recycling-centre-newton-recycling-centre/,Recycling Centre,Adelaide,Metals|Paper &amp; Cardboard|Plastics,newton-recycling-centre-newton-recycling-centre,adelaide/newton-recycling-centre-newton-recycling-centre,location_address,"6 Antonio Ct, Newton SA 5074, Australia",Antonio Court,,Adelaide,South Australia,5074,AU,-34.880034,138.687054
Metrowaste - Thebarton - Transfer Station,"Metro Waste Adelaide has been an integral part of the community for over 40 years specializing in Waste Management.

With a conveniently located facility in Thebarton we have the capacity to take all commercial and residential waste including asbestos products.

Metro Waste has been at forefront of recycling in Adelaide for decades and we endeavour to recover and recycle everything possible to reduce the impact of landfill.

Reducing our carbon footprint is a priority at Metro Waste Adelaide and we will assist you to ensure all waste items are carefully sorted so we can all play our part in creating a healthy environment.

Metro Waste Adelaide also have a large min-bin business so waste pickups are not a problem – just give us a call and we can discuss what bin suits your needs.

With convenient opening hours we welcome your inquiries and look forward to assisting you with any of your waste and dumping requirements.

Normal Opening Hours -

OPEN:
Mon - Fr: 8am - 4.30pm
Sat: 8am - 4pm
Sun / Public Holidays: 10am - 4pm

* CLOSED:
Good Friday
Chrismas Day and New Year Day
Boxing Day and Easter Sunday",charity_bin_dir_ltg,https://www.rubbishtips.com.au/adelaide/metrowaste-thebarton-transfer-station/,Transfer Station,Adelaide,Asbestos|Batteries|Cars &amp; Other Vehicles|Chemicals &amp; Liquids|Clothes &amp; Textiles|Construction Material|Electronics|Furniture|Green Waste|Hazardous Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,metrowaste-thebarton-transfer-station,adelaide/metrowaste-thebarton-transfer-station,location_address,"19-25 Murray St, Thebarton SA 5031, Australia",19-25 Murray Street,,Adelaide,South Australia,5031,AU,-34.912932,138.568856
Edinburgh North Resource Recovery Centre - Transfer Station,"The Northern Adelaide Waste Management Authority has two Resource Recovery Centres (RRC) where residents of the Salisbury, Playford and Gawler Councils can donate, recycle and dispose of a range of items. Trucks up to 3 tonne tare are welcome to access both facilities (contact Edinburgh North RRC for exceptions with heavier vehicles).",charity_bin_dir_ltg,https://www.rubbishtips.com.au/adelaide/edinburgh-north-resource-recovery-centre-edinburgh-north-transfer-station/,Transfer Station,Adelaide,Clothes &amp; Textiles|Construction Material|Furniture|Green Waste|Metals|Paper &amp; Cardboard|Plastics,edinburgh-north-resource-recovery-centre-edinburgh-north-transfer-station,adelaide/edinburgh-north-resource-recovery-centre-edinburgh-north-transfer-station,location_address,"Gate, 3 Bellchambers Rd, Edinburgh North SA 5113, Australia",,,,,,,-34.710074,138.65919
Pooraka Resource Recovery Centre - Transfer Station,"The Northern Adelaide Waste Management Authority has two Resource Recovery Centres (RRC) where residents of the Salisbury, Playford and Gawler Councils can donate, recycle and dispose of a range of items. Trucks up to 3 tonne tare are welcome to access both facilities (contact Edinburgh North RRC for exceptions with heavier vehicles).",charity_bin_dir_ltg,https://www.rubbishtips.com.au/adelaide/pooraka-resource-recovery-centre-pooraka-transfer-station/,Transfer Station,Adelaide,Cars &amp; Other Vehicles|Clothes &amp; Textiles|Construction Material|Electronics|Furniture|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,pooraka-resource-recovery-centre-pooraka-transfer-station,adelaide/pooraka-resource-recovery-centre-pooraka-transfer-station,location_address,"63 Research Rd, Pooraka SA 5095, Australia",Research Road,,Adelaide,South Australia,5095,AU,-34.816099,138.634368
Uleybury Landfill - Rubbish Tip,"The Uleybury landfill is owned and operated by the Northern Adelaide Waste Management Authority (NAWMA). It is situated on the site of a former quartzite quarry and has been in use since 2005. It is a best-practice landfill (balefill) operation with strict adherence to monitoring and controls, which protect the surrounding environment.

Each year around 86,000 tonnes of household and commercial waste is baled at NAWMA’s Edinburgh North Waste Processing Facility. The bales, which each weigh around 1.5 tonnes, are then transported via purpose-built wing-liner semi-trailers to the landfill site.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/adelaide/uleybury-landfill-uleybury-rubbish-tip/,Rubbish Tip,Adelaide,Clothes &amp; Textiles|Construction Material|Furniture|Green Waste|Metals|Paper &amp; Cardboard|Plastics,uleybury-landfill-uleybury-rubbish-tip,adelaide/uleybury-landfill-uleybury-rubbish-tip,location_address,"Uleybury SA 5114, Australia",,,Adelaide,South Australia,5114,AU,-34.680604,138.748943
Cleanaway Lonsdale - Waste and Recycling Depot,"Cleanaway Lonsdale Waste and Recycling Depot (formerly SA Waste) offers complete resource recovery, recycling, and waste management services to residents, industry and councils. Services include general waste collection, builder’s demolition waste, recycling and disposal.

Our Lonsdale dump optimises resource recovery by collecting kerbside materials to be separated for recycling, minimising waste from going to landfill.

Lengths of timber and steel are separated and sorted for recycling.
Unwanted metals are separated and sorted for sale to scrap metal merchants.
Old furniture and household goods are separated and recycled where possible.
Garden organic wastes are separated and prepared for mulching and composting.
Concrete and other building rubble are separated and prepared for crushing and recycling.
Contact us for more information about our Lonsdale dump fees.

We can arrange a free consultation to help you with your waste management. Speak to us for a quote, or to find out more about our products and services.",charity_bin_dir_ltg,https://www.rubbishtips.com.au/adelaide/cleanaway-lonsdale-waste-and-recycling-depot-lonsdale-rubbish-tip/,Rubbish Tip,Adelaide,Clothes &amp; Textiles|Furniture|Green Waste|Metals|Paper &amp; Cardboard|Plastics,cleanaway-lonsdale-waste-and-recycling-depot-lonsdale-rubbish-tip,adelaide/cleanaway-lonsdale-waste-and-recycling-depot-lonsdale-rubbish-tip,location_address,"10 Donegal Rd, Lonsdale SA 5160, Australia",Donegal Road,,Adelaide,South Australia,5160,AU,-35.118757,138.493057
Beverley Recycling and Waste Centre,"The Beverley Recycling and Waste Centre was redeveloped in 2018. It complies with Environment Protection Authority (EPA) and Work Health and Safety requirements.

The new waste centre has a disposal area and a Sort 'n Save recycling process. It's got improved customer service and site safety. You can visit with a car load, trailer load or boot load of waste, recycling and organics.

Costs
See the Beverley Waste and Recycling Centre rates and fees.

Minimum charges will apply. These prices include GST and the $143 per tonne EPA Solid Waste Levy. EFTPOS facilities are available.

What we accept:
cardboard
tyres
steel
mattresses
oils
car batteries
fluorescent tubes
e-waste (TVs and computers)
We also accept:

General waste

This includes the solid component of commercial, industrial, government, public or household waste.

Green Waste

Includes waste from domestic and commercial premises and government/council operations. Segregated, untreated timber can be processed as green waste.

Clean Soil

Soil must be clean free from any contaminants, eg. grass, rock, or any other foreign materials.

Concrete / Rubble / Unclean fill

We accept clean and unclean concrete, rubble, and unclean fill.

Paint

Includes unwanted paint and packaging from both trade and DIY painters. Up to 100 litres per vehicle, per visit, secured in containers of 20 litres or less at no charge.

The Beverley Recycling and Waste Centre is a free Paintback collection point for unwanted paint. Paintback diverts paint from landfill. It recycles steel and plastic packaging, with solvent paint used to replace fossil fuels and water in latex paint re-used in industrial processes. See Paintback's list of eligible products.

What we do not accept:
gas bottles
cement sheeting
vinyl flooring
asbestos
flammable/hazardous liquids",charity_bin_dir_ltg,https://www.rubbishtips.com.au/adelaide/beverley-recycling-and-waste-centre-beverley-recycling-centre/,Recycling Centre,Adelaide,Batteries|Cars &amp; Other Vehicles|Clothes &amp; Textiles|Construction Material|Electronics|Furniture|Green Waste|Metals|Paper &amp; Cardboard|Plastics|Rubber,beverley-recycling-and-waste-centre-beverley-recycling-centre,adelaide/beverley-recycling-and-waste-centre-beverley-recycling-centre,location_address,"2-4 Toogood Ave, Beverley SA 5009, Australia",Toogood Avenue,,Adelaide,South Australia,5009,AU,-34.898411,138.545584
